,gemma-3-4b,gemma-3-12b,llava-1.5-7b,llava-1.5-13b,Ministral-3-3B-Instruct,Ministral-3-8B-Instruct,Ministral-3-14B-Instruct,Qwen3-VL-4B-Instruct,Qwen3-VL-8B-Instruct,Qwen3-VL-8B-Thinking,Average
vlm_brand_prompt1,0.6639429962756387,0.7301263209149808,0.7257000380014651,0.6833097737532361,0.7140521882829092,0.759483733146221,0.7758728299825184,0.7853875777250268,0.7712587304650217,0.8025074878425411,0.7411641676389558
vlm_brand_prompt2,0.6817594275186922,0.747741226247525,0.701207787289147,0.643445405215378,0.7178403128356797,0.7636709572882351,0.7814187059115789,0.7888959476765768,0.7623719274896382,0.8062123262349403,0.7394564023707391
vlm_brand_prompt3,0.6898662371999166,0.730779158069978,0.7195960775452549,0.7908184648815888,0.7193550399593788,0.7427589920066,0.7717400245811176,0.8166898195981367,0.7865129797595662,0.8163106750140707,0.7584427468615609
vlm_brand_prompt4,0.6593350089708734,0.7441092537256777,0.7316093412697372,0.7822333886293451,0.735044762006504,0.7724155285001814,0.7767564025369668,0.8069939085108051,0.7900150951605803,0.824475759539678,0.762298844885035
vlm_brand_prompt5,0.653984727147958,0.7382848746867531,0.7157171927485511,0.7265942966530199,0.719723499240535,0.7733714696522596,0.7915307777569406,0.8105273436605994,0.7881011829969171,0.8195022507565497,0.7537337615300083
Average,0.6697776794226158,0.7382081667289829,0.718766087370831,0.7252802658265136,0.7212031604650013,0.7623401361186994,0.7794637481538244,0.8016989194342289,0.7796519831743447,0.8138016998775559,0.7510191846572598
