,gemma-3-4b,gemma-3-12b,llava-1.5-7b,llava-1.5-13b,Ministral-3-3B-Instruct,Ministral-3-8B-Instruct,Ministral-3-14B-Instruct,Qwen3-VL-4B-Instruct,Qwen3-VL-8B-Instruct,Qwen3-VL-8B-Thinking
vlm_brand_prompt1,0.8248945147679325,0.859915611814346,0.8628691983122363,0.8354430379746836,0.8523206751054853,0.8784810126582279,0.8873417721518987,0.8911392405063291,0.8835443037974684,0.9012658227848102
vlm_brand_prompt2,0.8354430379746836,0.869198312236287,0.850632911392405,0.8130801687763713,0.8544303797468354,0.880590717299578,0.890295358649789,0.8932489451476793,0.8784810126582279,0.9029535864978903
vlm_brand_prompt3,0.840084388185654,0.859915611814346,0.859493670886076,0.8949367088607595,0.8556962025316456,0.869198312236287,0.8848101265822785,0.9080168776371308,0.8919831223628693,0.9080168776371308
vlm_brand_prompt4,0.8248945147679325,0.8675105485232067,0.8658227848101265,0.8907172995780591,0.8662447257383966,0.8856540084388186,0.8877637130801688,0.9029535864978903,0.8936708860759494,0.9122362869198313
vlm_brand_prompt5,0.8223628691983123,0.8641350210970464,0.8578059071729958,0.8607594936708861,0.8578059071729958,0.8860759493670886,0.906319290465632,0.9046413502109705,0.8928270042194093,0.909704641350211
