,gemma-3-4b,gemma-3-12b,llava-1.5-7b,llava-1.5-13b,Ministral-3-3B-Instruct,Ministral-3-8B-Instruct,Ministral-3-14B-Instruct,Qwen3-VL-4B-Instruct,Qwen3-VL-8B-Instruct,Qwen3-VL-8B-Thinking
vlm_brand_prompt1,58.03418803418804,35.98290598290598,47.179487179487175,60.427350427350426,40.76923076923077,28.034188034188034,24.529914529914528,25.299145299145298,27.94871794871795,18.632478632478634
vlm_brand_prompt2,55.21367521367522,35.04273504273504,90.17094017094017,71.7948717948718,39.14529914529915,26.837606837606838,23.162393162393162,23.333333333333332,30.256410256410255,21.196581196581196
vlm_brand_prompt3,55.64102564102564,36.23931623931624,46.837606837606835,33.33333333333333,37.52136752136752,32.9059829059829,28.034188034188034,19.401709401709404,25.8974358974359,21.28205128205128
vlm_brand_prompt4,55.21367521367522,32.99145299145299,42.47863247863248,31.196581196581196,31.62393162393162,22.99145299145299,24.957264957264957,20.34188034188034,25.555555555555554,16.923076923076923
vlm_brand_prompt5,54.871794871794876,35.38461538461539,50.085470085470085,50.51282051282051,35.21367521367522,23.418803418803417,26.655629139072843,20.76923076923077,25.726495726495724,17.77777777777778
